Día de la semana,Hora de inicio,Hora de fin,Estación de origen,Estación de destino,Número de pasajeros,Nivel de congestión,Clima
Miércoles,6:00,9:00,Calle 100,Calle 26,7,Baja,Lluvioso
Jueves,12:00,15:00,Portal Sur,Calle 100,82,Alta,Lluvioso
Viernes,6:00,9:00,Calle 72,Portal Sur,14,Baja,Soleado
Martes,15:00,18:00,Calle 100,Portal Sur,81,Alta,Nublado
Domingo,9:00,12:00,Portal Norte,Calle 26,65,Alta,Soleado
Domingo,21:00,24:00,Calle 26,Portal Norte,67,Alta,Soleado
Lunes,9:00,12:00,Calle 100,Av. Jiménez,40,Moderada,Nublado
Viernes,21:00,24:00,Av. Jiménez,Portal Sur,41,Moderada,Nublado
Jueves,12:00,15:00,Calle 26,Av. Jiménez,80,Alta,Nublado
Domingo,21:00,24:00,Calle 26,Portal Norte,71,Alta,Soleado
Lunes,9:00,12:00,Calle 100,Héroes,41,Moderada,Nublado
Lunes,6:00,9:00,Héroes,Calle 72,22,Baja,Soleado
Domingo,12:00,15:00,Héroes,Calle 72,7,Baja,Nublado
Jueves,9:00,12:00,Calle 72,Portal Sur,62,Alta,Soleado
Domingo,6:00,9:00,Portal Sur,Calle 72,68,Alta,Soleado
Martes,21:00,24:00,Héroes,Portal Sur,44,Moderada,Lluvioso
Sábado,21:00,24:00,Calle 26,Calle 100,39,Moderada,Soleado
Miércoles,9:00,12:00,Av. Jiménez,Calle 26,88,Alta,Lluvioso
Jueves,18:00,21:00,Portal Norte,Héroes,81,Alta,Nublado
Jueves,18:00,21:00,Calle 100,Av. Jiménez,81,Alta,Lluvioso
Martes,9:00,12:00,Calle 72,Portal Sur,12,Baja,Lluvioso
Miércoles,15:00,18:00,Héroes,Calle 72,49,Moderada,Lluvioso
Viernes,6:00,9:00,Portal Sur,Calle 72,80,Alta,Nublado
Domingo,21:00,24:00,Calle 100,Portal Norte,80,Alta,Nublado
Sábado,9:00,12:00,Calle 100,Calle 26,17,Baja,Lluvioso
Jueves,9:00,12:00,Calle 100,Portal Norte,40,Moderada,Nublado
Martes,21:00,24:00,Héroes,Calle 72,23,Moderada,Soleado
Sábado,6:00,9:00,Calle 100,Héroes,35,Baja,Soleado
Jueves,21:00,24:00,Portal Sur,Calle 72,40,Moderada,Nublado
Domingo,18:00,21:00,Calle 100,Calle 26,29,Moderada,Soleado
Domingo,12:00,15:00,Calle 100,Héroes,47,Moderada,Lluvioso
Jueves,6:00,9:00,Av. Jiménez,Calle 100,40,Moderada,Lluvioso
Lunes,9:00,12:00,Calle 26,Av. Jiménez,78,Alta,Lluvioso
Viernes,12:00,15:00,Av. Jiménez,Portal Norte,41,Moderada,Lluvioso
Martes,6:00,9:00,Av. Jiménez,Calle 72,77,Alta,Lluvioso
Viernes,6:00,9:00,Portal Sur,Calle 26,80,Alta,Nublado
Lunes,9:00,12:00,Calle 26,Héroes,40,Baja,Soleado
Domingo,15:00,18:00,Héroes,Portal Norte,31,Moderada,Soleado
Sábado,15:00,18:00,Portal Sur,Héroes,29,Moderada,Soleado
Viernes,6:00,9:00,Calle 100,Portal Sur,22,Moderada,Soleado
Lunes,6:00,9:00,Héroes,Calle 72,41,Moderada,Nublado
Sábado,21:00,24:00,Portal Sur,Calle 100,39,Baja,Soleado
Domingo,15:00,18:00,Calle 100,Portal Norte,80,Alta,Nublado
Lunes,12:00,15:00,Calle 26,Portal Sur,79,Alta,Soleado
Sábado,6:00,9:00,Calle 100,Héroes,51,Moderada,Lluvioso
Martes,6:00,9:00,Calle 100,Av. Jiménez,45,Moderada,Lluvioso
Martes,12:00,15:00,Calle 26,Calle 100,41,Moderada,Nublado
Martes,21:00,24:00,Calle 100,Av. Jiménez,29,Baja,Soleado
Sábado,12:00,15:00,Héroes,Calle 100,16,Baja,Nublado
Domingo,18:00,21:00,Calle 72,Portal Sur,73,Alta,Soleado
Martes,12:00,15:00,Calle 26,Portal Norte,1,Baja,Lluvioso
Miércoles,15:00,18:00,Héroes,Calle 72,81,Alta,Nublado
Lunes,15:00,18:00,Calle 100,Portal Sur,40,Moderada,Nublado
Viernes,21:00,24:00,Héroes,Calle 26,58,Moderada,Lluvioso
Sábado,6:00,9:00,Calle 72,Calle 100,12,Baja,Nublado
Sábado,12:00,15:00,Portal Norte,Héroes,63,Alta,Soleado
Lunes,12:00,15:00,Calle 100,Portal Sur,29,Moderada,Soleado
Jueves,18:00,21:00,Calle 26,Portal Sur,2,Baja,Lluvioso
Lunes,12:00,15:00,Portal Norte,Portal Sur,60,Moderada,Lluvioso
Sábado,21:00,24:00,Calle 26,Portal Sur,17,Baja,Nublado
Miércoles,15:00,18:00,Héroes,Calle 72,63,Alta,Soleado
Lunes,15:00,18:00,Calle 100,Portal Norte,42,Moderada,Lluvioso
Martes,21:00,24:00,Portal Norte,Héroes,80,Alta,Nublado
Martes,15:00,18:00,Av. Jiménez,Calle 26,52,Moderada,Lluvioso
Domingo,9:00,12:00,Av. Jiménez,Calle 100,54,Moderada,Lluvioso
Lunes,18:00,21:00,Calle 100,Portal Norte,33,Moderada,Soleado
Miércoles,15:00,18:00,Calle 72,Av. Jiménez,29,Moderada,Soleado
Miércoles,18:00,21:00,Calle 26,Portal Norte,34,Moderada,Soleado
Sábado,21:00,24:00,Portal Norte,Calle 100,18,Baja,Soleado
Sábado,21:00,24:00,Calle 72,Portal Norte,41,Moderada,Nublado
Martes,15:00,18:00,Av. Jiménez,Héroes,14,Baja,Nublado
Sábado,21:00,24:00,Portal Sur,Calle 26,68,Alta,Soleado
Lunes,15:00,18:00,Portal Sur,Portal Norte,80,Alta,Nublado
Miércoles,12:00,15:00,Calle 100,Portal Norte,68,Alta,Lluvioso
Lunes,15:00,18:00,Av. Jiménez,Calle 72,70,Alta,Lluvioso
Sábado,21:00,24:00,Portal Sur,Calle 72,59,Moderada,Lluvioso
Jueves,9:00,12:00,Calle 26,Calle 72,81,Alta,Nublado
Sábado,15:00,18:00,Calle 72,Héroes,7,Baja,Lluvioso
Sábado,18:00,21:00,Calle 72,Héroes,81,Alta,Nublado
Domingo,21:00,24:00,Av. Jiménez,Calle 26,75,Alta,Soleado
Jueves,6:00,9:00,Calle 100,Portal Sur,66,Alta,Lluvioso
Martes,9:00,12:00,Av. Jiménez,Portal Sur,18,Baja,Nublado
Miércoles,12:00,15:00,Calle 100,Portal Norte,70,Alta,Soleado
Lunes,18:00,21:00,Portal Sur,Av. Jiménez,41,Moderada,Nublado
Lunes,15:00,18:00,Portal Norte,Héroes,70,Alta,Soleado
Miércoles,15:00,18:00,Calle 100,Av. Jiménez,5,Baja,Nublado
Jueves,12:00,15:00,Av. Jiménez,Portal Sur,10,Baja,Soleado
Jueves,18:00,21:00,Calle 26,Calle 100,68,Alta,Lluvioso
Domingo,9:00,12:00,Portal Sur,Portal Norte,80,Alta,Nublado
Sábado,21:00,24:00,Portal Norte,Héroes,84,Alta,Lluvioso
Domingo,21:00,24:00,Av. Jiménez,Calle 26,81,Alta,Nublado
Miércoles,15:00,18:00,Av. Jiménez,Portal Norte,5,Baja,Lluvioso
Viernes,9:00,12:00,Portal Norte,Calle 100,40,Moderada,Nublado
Viernes,6:00,9:00,Calle 72,Portal Sur,43,Moderada,Lluvioso
Lunes,12:00,15:00,Av. Jiménez,Calle 100,80,Alta,Nublado
Domingo,12:00,15:00,Portal Sur,Calle 72,77,Alta,Lluvioso
Sábado,9:00,12:00,Calle 26,Héroes,91,Alta,Lluvioso
Jueves,18:00,21:00,Héroes,Calle 26,66,Alta,Soleado
Sábado,15:00,18:00,Calle 26,Av. Jiménez,36,Baja,Soleado
Jueves,12:00,15:00,Portal Norte,Calle 26,97,Alta,Lluvioso
Sábado,9:00,12:00,Calle 26,Av. Jiménez,20,Baja,Lluvioso
Lunes,18:00,21:00,Portal Sur,Calle 100,73,Alta,Soleado
Miércoles,6:00,9:00,Portal Norte,Calle 72,29,Moderada,Soleado
Miércoles,15:00,18:00,Calle 26,Héroes,34,Moderada,Soleado
Martes,21:00,24:00,Portal Sur,Portal Norte,14,Baja,Lluvioso
Jueves,21:00,24:00,Héroes,Calle 72,69,Alta,Lluvioso
Miércoles,18:00,21:00,Calle 72,Calle 100,3,Baja,Lluvioso
Domingo,6:00,9:00,Calle 72,Calle 100,43,Moderada,Lluvioso
Viernes,9:00,12:00,Héroes,Calle 72,2,Baja,Nublado
Domingo,9:00,12:00,Héroes,Calle 72,43,Moderada,Lluvioso
Domingo,15:00,18:00,Portal Norte,Av. Jiménez,52,Moderada,Lluvioso
Viernes,6:00,9:00,Calle 72,Calle 100,7,Baja,Lluvioso
Jueves,21:00,24:00,Calle 72,Héroes,33,Moderada,Soleado
Jueves,12:00,15:00,Portal Sur,Héroes,40,Moderada,Nublado
Lunes,6:00,9:00,Héroes,Portal Sur,41,Moderada,Nublado
Domingo,15:00,18:00,Calle 26,Héroes,41,Moderada,Nublado
Domingo,9:00,12:00,Av. Jiménez,Héroes,15,Baja,Nublado
Sábado,12:00,15:00,Calle 26,Portal Norte,70,Alta,Soleado
Lunes,21:00,24:00,Calle 72,Calle 100,62,Alta,Soleado
Domingo,12:00,15:00,Portal Sur,Portal Norte,68,Alta,Soleado
Martes,21:00,24:00,Portal Sur,Calle 100,16,Baja,Lluvioso
Martes,6:00,9:00,Portal Sur,Calle 72,80,Alta,Nublado
Miércoles,6:00,9:00,Av. Jiménez,Calle 72,46,Moderada,Lluvioso
Lunes,21:00,24:00,Portal Norte,Av. Jiménez,45,Moderada,Lluvioso
Martes,15:00,18:00,Calle 72,Héroes,52,Moderada,Lluvioso
Viernes,21:00,24:00,Portal Sur,Portal Norte,40,Moderada,Nublado
Martes,9:00,12:00,Calle 100,Héroes,78,Alta,Lluvioso
Lunes,12:00,15:00,Calle 26,Portal Sur,22,Moderada,Soleado
Martes,18:00,21:00,Héroes,Av. Jiménez,21,Baja,Lluvioso
Viernes,12:00,15:00,Portal Sur,Calle 72,17,Baja,Lluvioso
Miércoles,12:00,15:00,Calle 26,Av. Jiménez,0,Baja,Soleado
Miércoles,6:00,9:00,Calle 72,Portal Sur,81,Alta,Nublado
Domingo,18:00,21:00,Calle 26,Héroes,69,Alta,Lluvioso
Miércoles,21:00,24:00,Portal Sur,Calle 72,17,Baja,Soleado
Viernes,18:00,21:00,Av. Jiménez,Portal Sur,74,Alta,Soleado
Martes,15:00,18:00,Calle 26,Héroes,42,Moderada,Lluvioso
Miércoles,6:00,9:00,Héroes,Portal Sur,25,Moderada,Soleado
Domingo,21:00,24:00,Av. Jiménez,Calle 100,17,Baja,Soleado
Lunes,6:00,9:00,Av. Jiménez,Portal Sur,4,Baja,Nublado
Domingo,15:00,18:00,Calle 72,Héroes,1,Baja,Nublado
Viernes,15:00,18:00,Portal Sur,Av. Jiménez,18,Baja,Nublado
Sábado,15:00,18:00,Portal Sur,Portal Norte,17,Baja,Soleado
Miércoles,21:00,24:00,Portal Sur,Portal Norte,3,Baja,Nublado
Viernes,9:00,12:00,Héroes,Calle 72,72,Alta,Soleado
Miércoles,18:00,21:00,Calle 72,Portal Sur,39,Baja,Soleado
Miércoles,18:00,21:00,Calle 100,Portal Norte,44,Moderada,Lluvioso
Martes,21:00,24:00,Av. Jiménez,Calle 26,7,Baja,Nublado
Lunes,21:00,24:00,Héroes,Av. Jiménez,7,Baja,Nublado
Lunes,21:00,24:00,Calle 72,Av. Jiménez,3,Baja,Lluvioso
Viernes,18:00,21:00,Portal Norte,Calle 26,3,Baja,Lluvioso
Jueves,9:00,12:00,Calle 72,Portal Norte,81,Alta,Nublado
Viernes,21:00,24:00,Portal Norte,Calle 26,40,Moderada,Nublado
Lunes,21:00,24:00,Calle 72,Portal Sur,16,Baja,Lluvioso
Jueves,15:00,18:00,Portal Sur,Av. Jiménez,12,Baja,Soleado
Viernes,18:00,21:00,Calle 100,Calle 26,64,Alta,Soleado
Domingo,12:00,15:00,Calle 100,Portal Sur,80,Alta,Nublado
Lunes,21:00,24:00,Portal Sur,Calle 72,80,Alta,Nublado
Martes,9:00,12:00,Portal Norte,Av. Jiménez,15,Baja,Nublado
Sábado,18:00,21:00,Calle 72,Héroes,70,Alta,Soleado
Martes,21:00,24:00,Calle 26,Portal Norte,27,Moderada,Soleado
Viernes,9:00,12:00,Calle 26,Calle 72,30,Baja,Soleado
Jueves,15:00,18:00,Portal Norte,Calle 72,56,Moderada,Lluvioso
Viernes,15:00,18:00,Av. Jiménez,Portal Sur,61,Alta,Soleado
Viernes,18:00,21:00,Héroes,Portal Sur,79,Alta,Lluvioso
Sábado,12:00,15:00,Calle 72,Calle 26,27,Baja,Soleado
Miércoles,12:00,15:00,Calle 100,Héroes,30,Moderada,Soleado
Sábado,9:00,12:00,Héroes,Av. Jiménez,78,Alta,Lluvioso
Miércoles,6:00,9:00,Portal Norte,Calle 72,81,Alta,Nublado
Miércoles,9:00,12:00,Calle 72,Portal Norte,81,Alta,Nublado
Sábado,18:00,21:00,Calle 26,Calle 100,40,Moderada,Nublado
Viernes,18:00,21:00,Portal Sur,Av. Jiménez,11,Baja,Nublado
Sábado,15:00,18:00,Portal Norte,Calle 72,5,Baja,Nublado
Miércoles,15:00,18:00,Portal Sur,Calle 26,13,Baja,Lluvioso
Domingo,18:00,21:00,Av. Jiménez,Calle 26,65,Alta,Soleado
Martes,15:00,18:00,Héroes,Portal Sur,77,Alta,Soleado
Lunes,21:00,24:00,Portal Sur,Portal Norte,4,Baja,Lluvioso
Domingo,9:00,12:00,Héroes,Av. Jiménez,48,Moderada,Lluvioso
Jueves,18:00,21:00,Calle 72,Calle 26,46,Moderada,Lluvioso
Lunes,6:00,9:00,Calle 72,Av. Jiménez,69,Alta,Soleado
Lunes,15:00,18:00,Calle 100,Av. Jiménez,77,Alta,Soleado
Miércoles,21:00,24:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Miércoles,15:00,18:00,Calle 26,Calle 100,60,Alta,Lluvioso
Miércoles,18:00,21:00,Portal Sur,Calle 100,74,Alta,Soleado
Sábado,12:00,15:00,Portal Sur,Calle 26,9,Baja,Lluvioso
Jueves,12:00,15:00,Calle 72,Portal Norte,7,Baja,Nublado
Viernes,9:00,12:00,Portal Sur,Calle 72,20,Baja,Nublado
Viernes,9:00,12:00,Calle 26,Av. Jiménez,34,Moderada,Soleado
Martes,18:00,21:00,Calle 72,Portal Sur,74,Alta,Soleado
Martes,6:00,9:00,Calle 26,Av. Jiménez,32,Baja,Soleado
Viernes,6:00,9:00,Calle 100,Portal Sur,40,Moderada,Nublado
Lunes,6:00,9:00,Calle 26,Portal Sur,36,Moderada,Soleado
Martes,12:00,15:00,Calle 72,Portal Norte,40,Moderada,Nublado
Lunes,15:00,18:00,Héroes,Av. Jiménez,1,Baja,Nublado
Lunes,18:00,21:00,Av. Jiménez,Calle 100,13,Baja,Nublado
Lunes,6:00,9:00,Calle 26,Héroes,64,Alta,Soleado
Miércoles,18:00,21:00,Héroes,Calle 26,31,Moderada,Soleado
Martes,18:00,21:00,Av. Jiménez,Calle 72,1,Baja,Lluvioso
Jueves,21:00,24:00,Héroes,Portal Norte,66,Alta,Lluvioso
Sábado,6:00,9:00,Héroes,Av. Jiménez,3,Baja,Nublado
Domingo,21:00,24:00,Portal Sur,Calle 72,68,Alta,Soleado
Martes,15:00,18:00,Calle 26,Calle 100,85,Alta,Lluvioso
Lunes,9:00,12:00,Calle 26,Av. Jiménez,44,Moderada,Lluvioso
Jueves,6:00,9:00,Portal Norte,Héroes,65,Alta,Soleado
Sábado,21:00,24:00,Calle 72,Portal Sur,33,Moderada,Soleado
Martes,15:00,18:00,Calle 100,Portal Norte,41,Moderada,Nublado
Martes,15:00,18:00,Calle 72,Calle 100,55,Moderada,Lluvioso
Lunes,12:00,15:00,Av. Jiménez,Portal Norte,70,Alta,Soleado
Viernes,15:00,18:00,Av. Jiménez,Portal Sur,46,Moderada,Lluvioso
Miércoles,15:00,18:00,Calle 100,Portal Norte,11,Baja,Nublado
Miércoles,21:00,24:00,Portal Norte,Calle 100,41,Moderada,Nublado
Lunes,15:00,18:00,Portal Sur,Calle 72,40,Moderada,Nublado
Sábado,6:00,9:00,Calle 26,Portal Sur,81,Alta,Nublado
Martes,9:00,12:00,Calle 100,Portal Norte,32,Baja,Soleado
Viernes,6:00,9:00,Portal Norte,Portal Sur,15,Baja,Lluvioso
Domingo,9:00,12:00,Calle 72,Portal Sur,24,Moderada,Soleado
Lunes,12:00,15:00,Portal Sur,Calle 26,41,Moderada,Lluvioso
Domingo,15:00,18:00,Portal Norte,Héroes,81,Alta,Nublado
Viernes,15:00,18:00,Portal Sur,Calle 72,59,Moderada,Lluvioso
Lunes,12:00,15:00,Av. Jiménez,Calle 72,14,Baja,Nublado
Martes,9:00,12:00,Héroes,Calle 72,44,Moderada,Lluvioso
Martes,6:00,9:00,Calle 26,Portal Sur,41,Moderada,Nublado
Lunes,21:00,24:00,Calle 100,Héroes,30,Moderada,Soleado
Sábado,21:00,24:00,Calle 72,Portal Sur,97,Alta,Lluvioso
Miércoles,21:00,24:00,Av. Jiménez,Portal Sur,80,Alta,Nublado
Domingo,6:00,9:00,Calle 100,Calle 72,32,Moderada,Soleado
Viernes,12:00,15:00,Calle 26,Calle 72,18,Baja,Lluvioso
Sábado,12:00,15:00,Av. Jiménez,Portal Sur,81,Alta,Nublado
Martes,12:00,15:00,Portal Sur,Calle 100,66,Alta,Soleado
Martes,15:00,18:00,Portal Norte,Héroes,28,Baja,Soleado
Martes,21:00,24:00,Calle 72,Av. Jiménez,4,Baja,Soleado
Sábado,6:00,9:00,Calle 72,Calle 26,56,Moderada,Lluvioso
Sábado,15:00,18:00,Calle 26,Calle 72,60,Alta,Lluvioso
Martes,12:00,15:00,Calle 100,Portal Sur,54,Moderada,Lluvioso
Domingo,18:00,21:00,Portal Norte,Calle 26,61,Alta,Soleado
Miércoles,15:00,18:00,Calle 72,Portal Norte,11,Baja,Lluvioso
Miércoles,9:00,12:00,Héroes,Calle 26,45,Moderada,Lluvioso
Miércoles,9:00,12:00,Calle 26,Calle 72,46,Moderada,Lluvioso
Viernes,12:00,15:00,Calle 72,Av. Jiménez,89,Alta,Lluvioso
Lunes,18:00,21:00,Calle 26,Calle 72,72,Alta,Soleado
Domingo,6:00,9:00,Portal Norte,Héroes,38,Moderada,Soleado
Domingo,18:00,21:00,Calle 72,Calle 26,54,Moderada,Lluvioso
Viernes,6:00,9:00,Héroes,Portal Norte,80,Alta,Soleado
Miércoles,21:00,24:00,Héroes,Calle 72,63,Alta,Soleado
Sábado,6:00,9:00,Calle 100,Calle 26,4,Baja,Nublado
Sábado,12:00,15:00,Portal Norte,Av. Jiménez,71,Alta,Soleado
Martes,18:00,21:00,Calle 26,Calle 72,21,Baja,Nublado
Miércoles,12:00,15:00,Calle 100,Portal Norte,64,Alta,Soleado
Viernes,21:00,24:00,Calle 72,Portal Sur,72,Alta,Soleado
Miércoles,6:00,9:00,Av. Jiménez,Calle 100,35,Baja,Soleado
Martes,9:00,12:00,Portal Sur,Calle 100,8,Baja,Soleado
Martes,15:00,18:00,Calle 100,Portal Norte,41,Moderada,Lluvioso
Miércoles,6:00,9:00,Av. Jiménez,Héroes,46,Moderada,Lluvioso
Viernes,9:00,12:00,Portal Sur,Calle 100,44,Moderada,Lluvioso
Miércoles,9:00,12:00,Av. Jiménez,Héroes,70,Alta,Soleado
Martes,6:00,9:00,Calle 26,Portal Norte,0,Baja,Lluvioso
Lunes,6:00,9:00,Av. Jiménez,Portal Norte,40,Moderada,Nublado
Lunes,6:00,9:00,Av. Jiménez,Portal Sur,80,Alta,Lluvioso
Domingo,21:00,24:00,Portal Sur,Portal Norte,26,Moderada,Soleado
Domingo,9:00,12:00,Héroes,Portal Norte,15,Baja,Lluvioso
Miércoles,9:00,12:00,Héroes,Portal Sur,63,Alta,Lluvioso
Domingo,18:00,21:00,Calle 72,Portal Sur,19,Baja,Nublado
Lunes,18:00,21:00,Portal Sur,Calle 72,14,Baja,Lluvioso
Jueves,12:00,15:00,Calle 100,Portal Sur,3,Baja,Nublado
Domingo,12:00,15:00,Portal Sur,Calle 26,32,Baja,Soleado
Sábado,9:00,12:00,Av. Jiménez,Calle 72,6,Baja,Nublado
Viernes,12:00,15:00,Portal Sur,Calle 100,10,Baja,Soleado
Sábado,12:00,15:00,Calle 26,Portal Sur,21,Baja,Lluvioso
Domingo,21:00,24:00,Av. Jiménez,Calle 100,66,Alta,Soleado
Viernes,12:00,15:00,Calle 26,Calle 100,34,Moderada,Soleado
Miércoles,21:00,24:00,Portal Sur,Calle 100,24,Moderada,Soleado
Martes,9:00,12:00,Portal Norte,Portal Sur,41,Moderada,Nublado
Domingo,6:00,9:00,Calle 26,Calle 72,41,Moderada,Nublado
Lunes,6:00,9:00,Calle 100,Calle 72,41,Moderada,Nublado
Martes,15:00,18:00,Portal Sur,Portal Norte,82,Alta,Lluvioso
Viernes,21:00,24:00,Calle 26,Portal Norte,80,Alta,Soleado
Lunes,9:00,12:00,Portal Sur,Calle 72,8,Baja,Nublado
Miércoles,12:00,15:00,Héroes,Calle 72,40,Moderada,Nublado
Viernes,12:00,15:00,Calle 26,Héroes,73,Alta,Soleado
Sábado,6:00,9:00,Calle 100,Héroes,70,Alta,Soleado
Sábado,21:00,24:00,Calle 100,Portal Sur,80,Alta,Nublado
Miércoles,15:00,18:00,Calle 100,Calle 26,21,Moderada,Soleado
Domingo,15:00,18:00,Calle 72,Calle 26,78,Alta,Soleado
Lunes,6:00,9:00,Héroes,Portal Sur,40,Moderada,Nublado
Lunes,9:00,12:00,Héroes,Portal Norte,79,Alta,Lluvioso
Martes,6:00,9:00,Calle 72,Av. Jiménez,11,Baja,Lluvioso
Martes,12:00,15:00,Calle 26,Calle 100,81,Alta,Nublado
Martes,9:00,12:00,Portal Norte,Calle 72,88,Alta,Lluvioso
Miércoles,9:00,12:00,Calle 100,Av. Jiménez,80,Alta,Nublado
Sábado,9:00,12:00,Portal Sur,Calle 26,62,Alta,Soleado
Domingo,15:00,18:00,Portal Sur,Héroes,7,Baja,Nublado
Lunes,12:00,15:00,Portal Norte,Av. Jiménez,81,Alta,Nublado
Lunes,21:00,24:00,Av. Jiménez,Calle 26,6,Baja,Lluvioso
Viernes,15:00,18:00,Portal Norte,Calle 26,40,Moderada,Nublado
Martes,21:00,24:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Lunes,6:00,9:00,Portal Norte,Calle 72,29,Moderada,Soleado
Jueves,21:00,24:00,Portal Sur,Portal Norte,9,Baja,Soleado
Domingo,6:00,9:00,Calle 26,Calle 100,21,Baja,Nublado
Lunes,9:00,12:00,Av. Jiménez,Portal Sur,32,Baja,Soleado
Jueves,18:00,21:00,Portal Sur,Héroes,86,Alta,Lluvioso
Lunes,12:00,15:00,Calle 100,Calle 26,3,Baja,Lluvioso
Miércoles,15:00,18:00,Calle 72,Héroes,50,Moderada,Lluvioso
Viernes,18:00,21:00,Calle 100,Av. Jiménez,80,Alta,Nublado
Martes,9:00,12:00,Calle 72,Portal Norte,41,Moderada,Nublado
Miércoles,21:00,24:00,Av. Jiménez,Calle 26,39,Moderada,Soleado
Miércoles,9:00,12:00,Calle 100,Calle 72,12,Baja,Lluvioso
Lunes,18:00,21:00,Av. Jiménez,Calle 26,22,Moderada,Soleado
Domingo,15:00,18:00,Calle 26,Héroes,80,Alta,Nublado
Viernes,15:00,18:00,Portal Sur,Calle 26,75,Alta,Soleado
Viernes,12:00,15:00,Calle 72,Av. Jiménez,60,Moderada,Lluvioso
Viernes,6:00,9:00,Calle 100,Av. Jiménez,10,Baja,Lluvioso
Lunes,6:00,9:00,Av. Jiménez,Portal Norte,4,Baja,Lluvioso
Martes,9:00,12:00,Calle 72,Héroes,87,Alta,Lluvioso
Viernes,12:00,15:00,Calle 100,Av. Jiménez,3,Baja,Soleado
Miércoles,9:00,12:00,Calle 100,Av. Jiménez,7,Baja,Lluvioso
Miércoles,18:00,21:00,Calle 72,Portal Sur,21,Moderada,Soleado
Miércoles,18:00,21:00,Calle 26,Av. Jiménez,11,Baja,Nublado
Lunes,12:00,15:00,Calle 100,Calle 26,10,Baja,Nublado
Lunes,9:00,12:00,Portal Sur,Portal Norte,86,Alta,Lluvioso
Miércoles,15:00,18:00,Av. Jiménez,Calle 72,39,Moderada,Soleado
Sábado,21:00,24:00,Portal Norte,Calle 100,8,Baja,Nublado
Jueves,9:00,12:00,Portal Norte,Calle 26,83,Alta,Lluvioso
Jueves,12:00,15:00,Calle 72,Av. Jiménez,41,Moderada,Nublado
Viernes,9:00,12:00,Calle 100,Calle 26,98,Alta,Lluvioso
Jueves,15:00,18:00,Portal Sur,Portal Norte,14,Baja,Soleado
Jueves,15:00,18:00,Calle 26,Calle 100,23,Moderada,Soleado
Sábado,21:00,24:00,Av. Jiménez,Calle 26,28,Moderada,Soleado
Domingo,12:00,15:00,Portal Norte,Portal Sur,41,Moderada,Nublado
Sábado,18:00,21:00,Av. Jiménez,Portal Norte,80,Alta,Nublado
Miércoles,15:00,18:00,Av. Jiménez,Héroes,24,Baja,Soleado
Viernes,15:00,18:00,Av. Jiménez,Portal Norte,64,Alta,Soleado
Sábado,18:00,21:00,Av. Jiménez,Calle 72,47,Moderada,Lluvioso
Sábado,21:00,24:00,Portal Sur,Calle 100,28,Moderada,Soleado
Miércoles,6:00,9:00,Calle 26,Portal Norte,74,Alta,Soleado
Lunes,21:00,24:00,Héroes,Portal Norte,43,Moderada,Lluvioso
Martes,21:00,24:00,Calle 100,Calle 26,40,Moderada,Soleado
Sábado,6:00,9:00,Av. Jiménez,Portal Sur,56,Moderada,Lluvioso
Miércoles,18:00,21:00,Calle 72,Calle 26,38,Moderada,Soleado
Viernes,18:00,21:00,Calle 100,Portal Norte,40,Moderada,Nublado
Lunes,15:00,18:00,Av. Jiménez,Calle 100,28,Moderada,Soleado
Viernes,6:00,9:00,Av. Jiménez,Calle 72,35,Moderada,Soleado
Viernes,18:00,21:00,Héroes,Calle 26,68,Alta,Soleado
Lunes,15:00,18:00,Portal Norte,Portal Sur,84,Alta,Lluvioso
Viernes,12:00,15:00,Calle 72,Héroes,32,Moderada,Soleado
Jueves,12:00,15:00,Av. Jiménez,Calle 26,81,Alta,Lluvioso
Miércoles,6:00,9:00,Av. Jiménez,Héroes,41,Moderada,Lluvioso
Jueves,12:00,15:00,Av. Jiménez,Calle 100,68,Alta,Lluvioso
Domingo,15:00,18:00,Portal Norte,Av. Jiménez,81,Alta,Nublado
Jueves,12:00,15:00,Calle 100,Héroes,80,Alta,Nublado
Lunes,9:00,12:00,Portal Norte,Calle 72,15,Baja,Lluvioso
Viernes,12:00,15:00,Av. Jiménez,Calle 26,64,Alta,Lluvioso
Sábado,6:00,9:00,Av. Jiménez,Calle 100,84,Alta,Lluvioso
Miércoles,21:00,24:00,Calle 72,Portal Norte,95,Alta,Lluvioso
Martes,6:00,9:00,Av. Jiménez,Calle 100,67,Alta,Soleado
Martes,9:00,12:00,Portal Norte,Av. Jiménez,1,Baja,Lluvioso
Martes,21:00,24:00,Héroes,Calle 26,71,Alta,Soleado
Viernes,6:00,9:00,Héroes,Portal Sur,21,Baja,Nublado
Miércoles,9:00,12:00,Calle 100,Calle 26,59,Moderada,Lluvioso
Domingo,12:00,15:00,Calle 26,Héroes,69,Alta,Soleado
Jueves,9:00,12:00,Portal Norte,Calle 72,72,Alta,Lluvioso
Sábado,15:00,18:00,Portal Sur,Calle 100,21,Moderada,Soleado
Sábado,15:00,18:00,Calle 26,Calle 72,0,Baja,Nublado
Lunes,9:00,12:00,Av. Jiménez,Portal Norte,81,Alta,Nublado
Martes,9:00,12:00,Portal Norte,Héroes,2,Baja,Lluvioso
Viernes,6:00,9:00,Calle 100,Av. Jiménez,10,Baja,Lluvioso
