estacion,latitud,longitud,capacidad,tiempo_permanencia,hora_dia,clima,dia_semana,evento_especial,distancia_estaciones,hora_pico
Calle 100,4.685253,-74.05759,12,7.34,21,lluvioso,laboral,0,3.27,1
Calle 26,4.615955,-74.072385,54,7.17,10,nublado,laboral,1,7.01,1
Gobernacion,4.642477,-74.096455,59,16.25,13,nublado,fin de semana,1,4.73,1
Gobernacion,4.642477,-74.096455,63,19.81,13,nublado,laboral,1,5.16,0
Calle 100,4.685253,-74.05759,24,22.92,17,lluvioso,laboral,0,5.6,1
Calle 26,4.615955,-74.072385,100,17.24,21,nublado,laboral,1,11.11,0
Portal El Dorado,4.681081,-74.121352,96,26.93,14,lluvioso,laboral,0,9.3,0
Portal Sur,4.596921,-74.169589,64,10.17,23,nublado,laboral,1,9.22,0
Portal Sur,4.596921,-74.169589,82,10.88,23,lluvioso,laboral,0,9.77,0
Portal Sur,4.596921,-74.169589,64,14.36,14,soleado,fin de semana,0,5.35,1
Calle 100,4.685253,-74.05759,87,13.4,2,soleado,laboral,0,19.38,0
Calle 26,4.615955,-74.072385,61,17.65,3,soleado,laboral,0,1.23,1
Gobernacion,4.642477,-74.096455,71,25.59,0,soleado,fin de semana,0,10.81,1
Portal Sur,4.596921,-74.169589,14,18.8,2,soleado,laboral,0,11.85,0
Gobernacion,4.642477,-74.096455,14,27.31,9,lluvioso,laboral,0,7.04,0
Gobernacion,4.642477,-74.096455,62,5.24,13,soleado,laboral,0,17.13,0
Calle 26,4.615955,-74.072385,80,20.65,3,soleado,laboral,0,16.34,0
Gobernacion,4.642477,-74.096455,60,23.19,5,nublado,laboral,1,13.8,0
Calle 26,4.615955,-74.072385,73,25.91,12,lluvioso,fin de semana,0,7.34,1
Portal Del Norte,4.754521,-74.046076,65,9.91,8,lluvioso,fin de semana,0,19.83,1
Calle 26,4.615955,-74.072385,17,24.2,15,soleado,laboral,0,14.23,1
Gobernacion,4.642477,-74.096455,22,14.89,7,soleado,fin de semana,1,4.07,0
Calle 26,4.615955,-74.072385,29,27.14,19,lluvioso,fin de semana,0,1.12,0
Gobernacion,4.642477,-74.096455,30,17.1,8,soleado,fin de semana,0,9.59,1
Gobernacion,4.642477,-74.096455,29,11.66,7,soleado,fin de semana,0,11.9,0
Calle 100,4.685253,-74.05759,64,25.11,15,soleado,laboral,1,1.46,0
Portal Del Norte,4.754521,-74.046076,70,14.94,19,lluvioso,fin de semana,1,4.09,1
Avenida Chile,4.665855,-74.074947,33,15.56,23,nublado,laboral,1,5.69,1
Calle 100,4.685253,-74.05759,12,20.03,12,lluvioso,fin de semana,0,1.23,0
Portal El Dorado,4.681081,-74.121352,66,18.46,12,soleado,fin de semana,0,7.3,0
Calle 100,4.685253,-74.05759,21,19.45,20,soleado,laboral,1,5.31,1
Calle 100,4.685253,-74.05759,69,14.39,16,nublado,fin de semana,1,5.96,0
Portal Del Norte,4.754521,-74.046076,90,8.98,23,soleado,fin de semana,0,3.59,1
Calle 100,4.685253,-74.05759,53,10.65,14,lluvioso,fin de semana,1,9.24,1
Calle 26,4.615955,-74.072385,75,19.08,16,soleado,fin de semana,0,5.51,1
Gobernacion,4.642477,-74.096455,43,19.51,23,nublado,laboral,1,14.54,1
Portal El Dorado,4.681081,-74.121352,87,20.16,6,soleado,laboral,1,13.74,1
Gobernacion,4.642477,-74.096455,42,29.0,11,soleado,laboral,0,13.52,0
Portal Sur,4.596921,-74.169589,23,5.76,3,lluvioso,laboral,0,16.41,1
Portal Sur,4.596921,-74.169589,24,23.52,12,lluvioso,fin de semana,1,11.82,1
Avenida Chile,4.665855,-74.074947,28,11.51,13,nublado,fin de semana,1,14.28,1
Calle 100,4.685253,-74.05759,12,15.3,10,lluvioso,laboral,1,11.59,1
Calle 100,4.685253,-74.05759,75,27.22,2,soleado,fin de semana,0,15.35,1
Portal Del Norte,4.754521,-74.046076,55,6.34,21,lluvioso,laboral,1,10.43,1
Portal El Dorado,4.681081,-74.121352,35,25.5,22,nublado,laboral,1,15.38,0
Calle 100,4.685253,-74.05759,88,12.25,19,nublado,fin de semana,1,5.36,0
Calle 26,4.615955,-74.072385,38,24.9,12,lluvioso,laboral,1,7.99,1
Avenida Chile,4.665855,-74.074947,70,10.97,0,nublado,laboral,1,0.6,0
Calle 26,4.615955,-74.072385,47,16.7,15,soleado,laboral,0,17.56,1
Portal Sur,4.596921,-74.169589,58,15.09,20,nublado,fin de semana,0,8.79,1
Gobernacion,4.642477,-74.096455,74,7.03,12,lluvioso,fin de semana,0,5.33,1
Calle 100,4.685253,-74.05759,63,25.64,5,soleado,laboral,0,1.92,0
Avenida Chile,4.665855,-74.074947,90,15.64,7,nublado,fin de semana,0,3.37,0
Portal Sur,4.596921,-74.169589,57,24.39,19,nublado,laboral,1,2.19,0
Calle 26,4.615955,-74.072385,67,17.03,13,lluvioso,fin de semana,0,4.62,0
Gobernacion,4.642477,-74.096455,38,11.67,20,nublado,fin de semana,1,12.82,1
